text,expertise,risk
I am struggling because I don't have the skills required to get hired anywhere right now.,Career & Future,Medium
It is hard to admit but I cannot understand my university coursework and it's completely draining my energy.,Education & Academics,Medium
I feel like I don't know how to properly manage my menstrual hygiene right now.,Hygiene & Health,Medium
Every day it's the same: I am constantly stressed about how to source funds for tuition fees. I feel stuck.,Financial & School Fees,Medium
It is hard to admit but My family has no money for food or basic survival. It is so hard.,Financial & School Fees,High
"Lately, I find it hard to concentrate during lectures and it's completely draining my energy.",Education & Academics,Low
I need to vent: We lack basic sanitation facilities in our community. I feel stuck.,Hygiene & Health,High
Every day it's the same: I cannot afford sanitary pads and miss school every month. It is so hard.,Hygiene & Health,High
"To be honest, I want to believe in myself more but my inner voice is so negative which makes everything worse.",Self-Esteem & Empowerment,Low
"Honestly, I cannot afford sanitary pads and miss school every month. I just want things to get better.",Hygiene & Health,High
"To be honest, Everyone else seems so confident and I feel worthless and I don't know what to do.",Self-Esteem & Empowerment,Medium
I have a severe infection but no access to a clinic. I feel stuck.,Hygiene & Health,High
"To be honest, I feel utterly alone and depressed every single day which makes everything worse.",Mental Health,High
"Lately, I cannot afford the textbooks and materials needed for class which makes everything worse.",Financial & School Fees,Medium
I feel like I feel nervous about presenting my group project next week. I feel stuck.,Education & Academics,Low
"Honestly, I feel stressed out and overwhelmed by life. I just want things to get better.",Mental Health,Medium
I need to vent: I feel confused about transitioning from school to the workforce. It is so hard.,Career & Future,Low
Lately I have been feeling that I am planning to harm myself tonight because I cannot take it anymore and it's completely draining my energy.,Mental Health,Critical
Lately I have been feeling that I don't know how to study effectively for finals. It is so hard.,Education & Academics,Low
Every day it's the same: I need advice on reproductive health but have no one to ask which makes everything worse.,Hygiene & Health,Medium
Lately I have been feeling that I am slipping back into deep depression and feel trapped and I don't know what to do.,Mental Health,High
"I feel like I want to end my life, everything is too heavy and I don't know what to do.",Mental Health,Critical
Lately I have been feeling that I am body-shamed by my peers and it destroys my confidence which makes everything worse.,Self-Esteem & Empowerment,Medium
Lately I have been feeling that I struggle to say no when people pressure me into things. It is so hard.,Self-Esteem & Empowerment,Low
"To be honest, I cannot afford sanitary pads and miss school every month. I feel stuck.",Hygiene & Health,High
I might drop out of school due to financial struggles and it's ruining my life.,Financial & School Fees,Medium
Can anyone advise me? I cannot afford the textbooks and materials needed for class. It is so hard.,Financial & School Fees,Medium
Every day it's the same: I am worried I will never find employment after graduation,Career & Future,Medium
I am struggling because I cannot understand my university coursework and I don't know what to do.,Education & Academics,Medium
I am struggling because The pain is too much and I want to commit suicide which makes everything worse.,Mental Health,Critical
Every day it's the same: I dropped out of school because it was too difficult. I feel stuck.,Education & Academics,Medium
The pain is too much and I want to commit suicide. I feel stuck.,Mental Health,Critical
"Lately, I need advice on reproductive health but have no one to ask which makes everything worse.",Hygiene & Health,Medium
I feel like I might drop out of school due to financial struggles and it's completely draining my energy.,Financial & School Fees,Medium
"Please help, I cannot find a job or internship anywhere and it's completely draining my energy.",Career & Future,Medium
"Lately, I feel invisible when I am in a room full of people. It is so hard.",Self-Esteem & Empowerment,Low
"To be honest, I am constantly anxious about my future and I don't know what to do.",Mental Health,Medium
Lately I have been feeling that I always seek validation from others to feel good. I feel stuck.,Self-Esteem & Empowerment,Low
I dropped out of school because it was too difficult right now.,Education & Academics,Medium
Can anyone advise me? I have a severe infection but no access to a clinic. It is so hard.,Hygiene & Health,High
Can anyone advise me? I cannot understand my university coursework and I have no support system here.,Education & Academics,Medium
I feel like I feel pressured to change my appearance just to fit in with others right now.,Self-Esteem & Empowerment,Medium
"Please help, I dropped out of school because it was too difficult which makes everything worse.",Education & Academics,Medium
I need to vent: I missed my final exams because I lacked basic menstrual health supplies,Hygiene & Health,High
I am struggling because I am falling behind on my reading list this semester. It is so hard.,Education & Academics,Low
"Lately, I find it hard to speak up or stand up for myself right now.",Self-Esteem & Empowerment,Low
Can anyone advise me? We lack basic sanitation facilities in our community. I just want things to get better.,Hygiene & Health,High
"Lately, I am thinking about suicide, I can't do this anymore right now.",Mental Health,Critical
I cannot understand mathematics concepts and it's ruining my life.,Education & Academics,Low
"Lately, I feel invisible when I am in a room full of people and I don't know what to do.",Self-Esteem & Empowerment,Low
Lately I have been feeling that I constantly doubt my abilities and intelligence and it's completely draining my energy.,Self-Esteem & Empowerment,Medium
Every day it's the same: I am facing severe period poverty and using unsafe alternatives and it's ruining my life.,Hygiene & Health,High
"Lately, I have no money to pay for my university school fees right now.",Financial & School Fees,Medium
I need to vent: My family has no money for food or basic survival. It is so hard.,Financial & School Fees,High
It is hard to admit but I feel stressed out and overwhelmed by life and I don't know what to do.,Mental Health,Medium
Every day it's the same: I always seek validation from others to feel good. I just want things to get better.,Self-Esteem & Empowerment,Low
I am struggling because I feel embarrassed to ask about changes in my body during puberty and it's completely draining my energy.,Hygiene & Health,Medium
"I feel like I want to become a stronger, more confident girl. It is so hard.",Self-Esteem & Empowerment,Low
Lately I have been feeling that I find it hard to concentrate during lectures. I just want things to get better.,Education & Academics,Low
I feel like I feel utterly alone and depressed every single day which makes everything worse.,Mental Health,High
Every day it's the same: I don't have the skills required to get hired anywhere right now.,Career & Future,Medium
Can anyone advise me? I've been crying for days and I feel completely empty and it's ruining my life.,Mental Health,High
I feel like I feel deeply depressed and hopeless about everything and it's completely draining my energy.,Mental Health,High
Can anyone advise me? The pressure to pass my classes is overwhelming me and it's completely draining my energy.,Education & Academics,Medium
"Please help, I feel so overwhelmed by my emotions and regular stress right now.",Mental Health,Medium
It is hard to admit but I am struggling to find mentorship opportunities and it's ruining my life.,Career & Future,Medium
I need to vent: I have an outstanding balance and won't be allowed to register. I just want things to get better.,Financial & School Fees,Medium
"Honestly, I want to believe in myself more but my inner voice is so negative and it's completely draining my energy.",Self-Esteem & Empowerment,Low
I find it hard to speak up or stand up for myself which makes everything worse.,Self-Esteem & Empowerment,Low
I feel like I cannot control my mood swings lately and I have no support system here.,Mental Health,Medium
Can anyone advise me? I always seek validation from others to feel good,Self-Esteem & Empowerment,Low
It is hard to admit but I need help building a professional resume. I feel stuck.,Career & Future,Low
I am struggling because I have a plan to end my life tonight. I feel stuck.,Mental Health,Critical
"Every day it's the same: I want to end my life, everything is too heavy. It is so hard.",Mental Health,Critical
"Honestly, I am trying to figure out what my strengths are",Career & Future,Low
"To be honest, I feel pressured to change my appearance just to fit in with others and it's ruining my life.",Self-Esteem & Empowerment,Medium
I feel locked out of career spaces because I don't have connections and it's ruining my life.,Career & Future,Medium
"I want to become a stronger, more confident girl. I feel stuck.",Self-Esteem & Empowerment,Low
"Please help, I am body-shamed by my peers and it destroys my confidence and I don't know what to do.",Self-Esteem & Empowerment,Medium
Every day it's the same: I might drop out of school due to financial struggles and I have no support system here.,Financial & School Fees,Medium
I am struggling because I feel embarrassed to ask about changes in my body during puberty which makes everything worse.,Hygiene & Health,Medium
I am struggling because There is no clean or private place to change my pads at school and it's ruining my life.,Hygiene & Health,Medium
Lately I have been feeling that I have an outstanding balance and won't be allowed to register and it's completely draining my energy.,Financial & School Fees,Medium
Lately I have been feeling that I feel stressed out and overwhelmed by life right now.,Mental Health,Medium
"Please help, I feel very lonely and isolated from my friends and it's completely draining my energy.",Mental Health,Medium
I feel like Everyone else seems so confident and I feel worthless and I don't know what to do.,Self-Esteem & Empowerment,Medium
I don't know how to study effectively for finals,Education & Academics,Low
It is hard to admit but We lack basic sanitation facilities in our community and it's completely draining my energy.,Hygiene & Health,High
I feel like I feel pressured to change my appearance just to fit in with others and I have no support system here.,Self-Esteem & Empowerment,Medium
I need to vent: I missed a few classes and now I am falling behind which makes everything worse.,Education & Academics,Low
"Please help, I lack clean water for bathing and personal hygiene. I feel stuck.",Hygiene & Health,Medium
Every day it's the same: I am struggling with my academic performance this term and it's ruining my life.,Education & Academics,Medium
Lately I have been feeling that The pain is too much and I want to commit suicide and I have no support system here.,Mental Health,Critical
My family has no money for food or basic survival. It is so hard.,Financial & School Fees,High
"Honestly, I keep getting poor grades despite trying my best and it's ruining my life.",Education & Academics,Medium
I want to learn how to network professionally within my field which makes everything worse.,Career & Future,Low
Lately I have been feeling that I want to learn how to network professionally within my field,Career & Future,Low
Every day it's the same: I find it hard to concentrate during lectures,Education & Academics,Low
It is hard to admit but I constantly doubt my abilities and intelligence. It is so hard.,Self-Esteem & Empowerment,Medium
I need to vent: I feel locked out of career spaces because I don't have connections,Career & Future,Medium
I feel like I feel stressed out and overwhelmed by life. I feel stuck.,Mental Health,Medium
Every day it's the same: I missed a few classes and now I am falling behind. I just want things to get better.,Education & Academics,Low
Can anyone advise me? I have an untreated reproductive tract illness and nowhere to go. I just want things to get better.,Hygiene & Health,High
"To be honest, I am constantly stressed about how to source funds for tuition fees. It is so hard.",Financial & School Fees,Medium
"Please help, We lack basic sanitation facilities in our community and it's completely draining my energy.",Hygiene & Health,High
I am struggling because I don't know how to study effectively for finals. I feel stuck.,Education & Academics,Low
I don't have access to clean drinking water and I am sick and it's completely draining my energy.,Hygiene & Health,High
Every day it's the same: I feel confused about transitioning from school to the workforce and I don't know what to do.,Career & Future,Low
Lately I have been feeling that I have to drop out entirely because we cannot pay basic living fees and I have no support system here.,Financial & School Fees,High
It is hard to admit but I need help building a professional resume,Career & Future,Low
Lately I have been feeling that I lack clean water for bathing and personal hygiene and I have no support system here.,Hygiene & Health,Medium
"Please help, I am body-shamed by my peers and it destroys my confidence. I feel stuck.",Self-Esteem & Empowerment,Medium
"Please help, There is no clean or private place to change my pads at school and it's completely draining my energy.",Hygiene & Health,Medium
"I need to vent: I want to become a stronger, more confident girl. It is so hard.",Self-Esteem & Empowerment,Low
Every day it's the same: We lack basic sanitation facilities in our community and I don't know what to do.,Hygiene & Health,High
I am struggling because I am body-shamed by my peers and it destroys my confidence and it's completely draining my energy.,Self-Esteem & Empowerment,Medium
"Please help, I don't have the skills required to get hired anywhere and I have no support system here.",Career & Future,Medium
"Lately, I find it hard to concentrate during lectures. It is so hard.",Education & Academics,Low
Lately I have been feeling that I need advice on reproductive health but have no one to ask and it's ruining my life.,Hygiene & Health,Medium
"To be honest, I find it hard to speak up or stand up for myself and it's ruining my life.",Self-Esteem & Empowerment,Low
"Lately, I am planning to harm myself tonight because I cannot take it anymore and I have no support system here.",Mental Health,Critical
Can anyone advise me? I am constantly stressed about how to source funds for tuition fees. I just want things to get better.,Financial & School Fees,Medium
"Honestly, I feel completely hopeless and want to end it all. It is so hard.",Mental Health,Critical
Every day it's the same: I feel confused about transitioning from school to the workforce and it's completely draining my energy.,Career & Future,Low
It is hard to admit but I feel like failing these assignments will ruin my entire future. It is so hard.,Education & Academics,Medium
"Lately, I need advice on reproductive health but have no one to ask",Hygiene & Health,Medium
I need to vent: I feel like failing these assignments will ruin my entire future and it's ruining my life.,Education & Academics,Medium
I need to vent: I struggle to say no when people pressure me into things. I just want things to get better.,Self-Esteem & Empowerment,Low
I am struggling because I keep getting poor grades despite trying my best. It is so hard.,Education & Academics,Medium
"To be honest, I don't know which career or major to choose. I feel stuck.",Career & Future,Low
It is hard to admit but There is no clean or private place to change my pads at school and it's completely draining my energy.,Hygiene & Health,Medium
"To be honest, I am falling behind on my reading list this semester and it's completely draining my energy.",Education & Academics,Low
It is hard to admit but I cannot find a job or internship anywhere and it's ruining my life.,Career & Future,Medium
"To be honest, I want to become a stronger, more confident girl. It is so hard.",Self-Esteem & Empowerment,Low
"To be honest, I feel embarrassed to ask about changes in my body during puberty and I have no support system here.",Hygiene & Health,Medium
Can anyone advise me? I feel completely hopeless and want to end it all. It is so hard.,Mental Health,Critical
I am struggling to find any motivation to get out of bed. I feel stuck.,Mental Health,Medium
Can anyone advise me? I don't know which career or major to choose. I just want things to get better.,Career & Future,Low
"Lately, I feel like I am not good enough for any opportunities and I don't know what to do.",Self-Esteem & Empowerment,Medium
"To be honest, The pressure to pass my classes is overwhelming me. It is so hard.",Education & Academics,Medium
Can anyone advise me? There is no clean or private place to change my pads at school. It is so hard.,Hygiene & Health,Medium
I feel like I cannot find a job or internship anywhere right now.,Career & Future,Medium
It is hard to admit but I need extra tutoring for my science courses which makes everything worse.,Education & Academics,Low
"Please help, I always seek validation from others to feel good right now.",Self-Esteem & Empowerment,Low
"Please help, I am failing my end of semester exams and it's completely draining my energy.",Education & Academics,Medium
"Please help, I want to believe in myself more but my inner voice is so negative and it's completely draining my energy.",Self-Esteem & Empowerment,Low
I might drop out of school due to financial struggles and it's completely draining my energy.,Financial & School Fees,Medium
"Honestly, The pain is too much and I want to commit suicide",Mental Health,Critical
"I am struggling because I want to end my life, everything is too heavy and I don't know what to do.",Mental Health,Critical
I need to vent: I have to drop out entirely because we cannot pay basic living fees and it's ruining my life.,Financial & School Fees,High
I feel so overwhelmed by my emotions and regular stress. It is so hard.,Mental Health,Medium
It is hard to admit but I feel stuck and hopeless about my career path right now.,Career & Future,Medium
Can anyone advise me? I feel deeply depressed and hopeless about everything. I just want things to get better.,Mental Health,High
Lately I have been feeling that I struggle to say no when people pressure me into things which makes everything worse.,Self-Esteem & Empowerment,Low
I have a plan to end my life tonight and it's completely draining my energy.,Mental Health,Critical
I am struggling because I don't know which career or major to choose,Career & Future,Low
I feel like I have a plan to end my life tonight. I feel stuck.,Mental Health,Critical
"Lately, I am worried I will never find employment after graduation",Career & Future,Medium
Every day it's the same: I feel stuck and hopeless about my career path and I have no support system here.,Career & Future,Medium
"Honestly, I cannot understand my university coursework and it's ruining my life.",Education & Academics,Medium
"Please help, I don't have the skills required to get hired anywhere. It is so hard.",Career & Future,Medium
Can anyone advise me? I am struggling with my academic performance this term and it's completely draining my energy.,Education & Academics,Medium
"To be honest, I need extra tutoring for my science courses. I feel stuck.",Education & Academics,Low
"Honestly, Everyone else seems so confident and I feel worthless right now.",Self-Esteem & Empowerment,Medium
It is hard to admit but I constantly doubt my abilities and intelligence. I just want things to get better.,Self-Esteem & Empowerment,Medium
Every day it's the same: I find it hard to concentrate during lectures. It is so hard.,Education & Academics,Low
Lately I have been feeling that I cannot afford the textbooks and materials needed for class,Financial & School Fees,Medium
I am struggling because Severe panic attacks are making it impossible to breathe and I have no support system here.,Mental Health,High
I feel like There is no clean or private place to change my pads at school which makes everything worse.,Hygiene & Health,Medium
Lately I have been feeling that I feel deeply depressed and hopeless about everything,Mental Health,High
"Honestly, I am failing my end of semester exams which makes everything worse.",Education & Academics,Medium
Lately I have been feeling that I feel completely insecure and unloved when I compare myself online right now.,Self-Esteem & Empowerment,Medium
"Honestly, I don't know how to prepare for a job interview and it's completely draining my energy.",Career & Future,Low
I need to vent: I feel completely hopeless and want to end it all. It is so hard.,Mental Health,Critical
It is hard to admit but I don't know how to prepare for a job interview. I feel stuck.,Career & Future,Low
"Honestly, I feel completely hopeless and want to end it all. I feel stuck.",Mental Health,Critical
Can anyone advise me? I feel locked out of career spaces because I don't have connections,Career & Future,Medium
"To be honest, I cannot understand my university coursework",Education & Academics,Medium
Can anyone advise me? I keep getting poor grades despite trying my best and I don't know what to do.,Education & Academics,Medium
"Honestly, Everyone else seems so confident and I feel worthless. I feel stuck.",Self-Esteem & Empowerment,Medium
Can anyone advise me? I can't seem to sleep or rest because my mind won't stop worrying. It is so hard.,Mental Health,Medium
I am struggling because I don't know how to prepare for a job interview and it's completely draining my energy.,Career & Future,Low
I am struggling because I need advice on reproductive health but have no one to ask and I don't know what to do.,Hygiene & Health,Medium
I feel like I feel utterly alone and depressed every single day right now.,Mental Health,High
"Honestly, I missed a few classes and now I am falling behind right now.",Education & Academics,Low
"To be honest, Everyone else seems so confident and I feel worthless",Self-Esteem & Empowerment,Medium
"Lately, I have no money to pay for my university school fees which makes everything worse.",Financial & School Fees,Medium
I need to vent: I want to believe in myself more but my inner voice is so negative right now.,Self-Esteem & Empowerment,Low
I am struggling because I don't know which career or major to choose and I have no support system here.,Career & Future,Low
Lately I have been feeling that I dropped out of school because it was too difficult. I just want things to get better.,Education & Academics,Medium
I am struggling because My parents cannot afford to sponsor my education anymore and it's ruining my life.,Financial & School Fees,Medium
"Lately, I am facing extreme financial crisis and debt. It is so hard.",Financial & School Fees,High
"Honestly, I've been crying for days and I feel completely empty. I feel stuck.",Mental Health,High
I am struggling because I feel so overwhelmed by my emotions and regular stress and I don't know what to do.,Mental Health,Medium
"To be honest, I hate how I look and feel completely insecure right now.",Self-Esteem & Empowerment,Medium
"Honestly, My mind is constantly racing with dark, heavy thoughts",Mental Health,High
It is hard to admit but I am facing severe period poverty and using unsafe alternatives right now.,Hygiene & Health,High
"Honestly, I feel nervous about presenting my group project next week and I don't know what to do.",Education & Academics,Low
"Please help, Severe panic attacks are making it impossible to breathe and I have no support system here.",Mental Health,High
I feel like I find it hard to speak up or stand up for myself and it's completely draining my energy.,Self-Esteem & Empowerment,Low
I am struggling because Unemployment is making me feel like a burden and it's ruining my life.,Career & Future,Medium
"Honestly, I don't want to wake up tomorrow, I want to die right now.",Mental Health,Critical
"Honestly, I don't know which career or major to choose. I just want things to get better.",Career & Future,Low
"To be honest, I want to learn how to network professionally within my field and I have no support system here.",Career & Future,Low
"Lately, I am thinking about suicide, I can't do this anymore and I have no support system here.",Mental Health,Critical
"Honestly, I hate how I look and feel completely insecure and it's completely draining my energy.",Self-Esteem & Empowerment,Medium
Can anyone advise me? I find it hard to concentrate during lectures and it's completely draining my energy.,Education & Academics,Low
Lately I have been feeling that I am failing my end of semester exams and I have no support system here.,Education & Academics,Medium
"Please help, I am failing my end of semester exams. I feel stuck.",Education & Academics,Medium
"Lately, We lack basic sanitation facilities in our community which makes everything worse.",Hygiene & Health,High
"Honestly, I am struggling to find any motivation to get out of bed and I don't know what to do.",Mental Health,Medium
"Lately, I feel completely insecure and unloved when I compare myself online and I have no support system here.",Self-Esteem & Empowerment,Medium
It is hard to admit but I have to drop out entirely because we cannot pay basic living fees. I just want things to get better.,Financial & School Fees,High
I need to vent: My family has no money for food or basic survival which makes everything worse.,Financial & School Fees,High
"Please help, My mind is constantly racing with dark, heavy thoughts. I feel stuck.",Mental Health,High
"I am struggling because I want to end my life, everything is too heavy right now.",Mental Health,Critical
I am struggling because I am facing extreme financial crisis and debt right now.,Financial & School Fees,High
"To be honest, I want to build my self-esteem but don't know how and I have no support system here.",Self-Esteem & Empowerment,Low
Can anyone advise me? I cannot afford the textbooks and materials needed for class and I don't know what to do.,Financial & School Fees,Medium
"To be honest, We lack basic sanitation facilities in our community. I just want things to get better.",Hygiene & Health,High
It is hard to admit but The pressure to pass my classes is overwhelming me right now.,Education & Academics,Medium
I am struggling because I cannot understand my university coursework right now.,Education & Academics,Medium
Every day it's the same: I have a severe infection but no access to a clinic which makes everything worse.,Hygiene & Health,High
I need to vent: I want to find a mentor to guide my career right now.,Career & Future,Low
"Lately, There is no clean or private place to change my pads at school and I have no support system here.",Hygiene & Health,Medium
"Honestly, I need reliable information on contraceptive methods. I just want things to get better.",Hygiene & Health,Medium
Lately I have been feeling that I dropped out of school because it was too difficult and it's completely draining my energy.,Education & Academics,Medium
"Every day it's the same: I don't want to wake up tomorrow, I want to die which makes everything worse.",Mental Health,Critical
It is hard to admit but I keep getting poor grades despite trying my best. I feel stuck.,Education & Academics,Medium
I am struggling because My anxiety is so bad I can't leave my room which makes everything worse.,Mental Health,High
Lately I have been feeling that I feel stressed out and overwhelmed by life. I feel stuck.,Mental Health,Medium
"Lately, I cannot understand mathematics concepts and I don't know what to do.",Education & Academics,Low
I am struggling because I feel pressured to change my appearance just to fit in with others and it's ruining my life.,Self-Esteem & Empowerment,Medium
Can anyone advise me? I find it hard to speak up or stand up for myself which makes everything worse.,Self-Esteem & Empowerment,Low
I am struggling because I am trying to figure out what my strengths are and it's completely draining my energy.,Career & Future,Low
Can anyone advise me? I am worried I will never find employment after graduation and it's ruining my life.,Career & Future,Medium
"I need to vent: My mind is constantly racing with dark, heavy thoughts right now.",Mental Health,High
Can anyone advise me? I feel completely hopeless and want to end it all and I have no support system here.,Mental Health,Critical
I am struggling because I need advice on reproductive health but have no one to ask and it's ruining my life.,Hygiene & Health,Medium
"Honestly, I am thinking about suicide, I can't do this anymore. I feel stuck.",Mental Health,Critical
I feel like I don't know how to study effectively for finals and it's completely draining my energy.,Education & Academics,Low
Can anyone advise me? I need help building a professional resume. I just want things to get better.,Career & Future,Low
It is hard to admit but I don't know how to study effectively for finals right now.,Education & Academics,Low
It is hard to admit but Everyone else seems so confident and I feel worthless. I just want things to get better.,Self-Esteem & Empowerment,Medium
"Please help, I feel stuck and hopeless about my career path right now.",Career & Future,Medium
"It is hard to admit but I don't want to wake up tomorrow, I want to die and it's ruining my life.",Mental Health,Critical
I am struggling because I have a severe infection but no access to a clinic and it's ruining my life.,Hygiene & Health,High
Every day it's the same: I am constantly anxious about my future and I don't know what to do.,Mental Health,Medium
"Lately, I lack clean water for bathing and personal hygiene right now.",Hygiene & Health,Medium
I need to vent: I always seek validation from others to feel good and it's completely draining my energy.,Self-Esteem & Empowerment,Low
"To be honest, I struggle to say no when people pressure me into things which makes everything worse.",Self-Esteem & Empowerment,Low
It is hard to admit but I am slipping back into deep depression and feel trapped which makes everything worse.,Mental Health,High
"Honestly, I have an untreated reproductive tract illness and nowhere to go. I feel stuck.",Hygiene & Health,High
Every day it's the same: I feel completely hopeless and want to end it all and it's ruining my life.,Mental Health,Critical
"To be honest, I have a plan to end my life tonight and it's ruining my life.",Mental Health,Critical
"Please help, I am constantly stressed about how to source funds for tuition fees. It is so hard.",Financial & School Fees,Medium
"Please help, I am struggling to find mentorship opportunities and it's completely draining my energy.",Career & Future,Medium
"To be honest, I can't seem to sleep or rest because my mind won't stop worrying and it's completely draining my energy.",Mental Health,Medium
It is hard to admit but I feel pressured to change my appearance just to fit in with others. It is so hard.,Self-Esteem & Empowerment,Medium
Lately I have been feeling that I constantly doubt my abilities and intelligence and I don't know what to do.,Self-Esteem & Empowerment,Medium
Lately I have been feeling that I dropped out of school because it was too difficult and I have no support system here.,Education & Academics,Medium
Everyone else seems so confident and I feel worthless. I just want things to get better.,Self-Esteem & Empowerment,Medium
It is hard to admit but The pressure to pass my classes is overwhelming me. I just want things to get better.,Education & Academics,Medium
I am struggling because I feel pressured to change my appearance just to fit in with others,Self-Esteem & Empowerment,Medium
I need to vent: I feel like failing these assignments will ruin my entire future. I feel stuck.,Education & Academics,Medium
Can anyone advise me? My anxiety is so bad I can't leave my room and it's ruining my life.,Mental Health,High
"Please help, I am worried I will never find employment after graduation right now.",Career & Future,Medium
I need to vent: I missed my final exams because I lacked basic menstrual health supplies which makes everything worse.,Hygiene & Health,High
"Lately, I am constantly anxious about my future which makes everything worse.",Mental Health,Medium
Lately I have been feeling that I don't have the skills required to get hired anywhere right now.,Career & Future,Medium
I am struggling because I want to learn how to network professionally within my field. I just want things to get better.,Career & Future,Low
Can anyone advise me? Everyone else seems so confident and I feel worthless and it's ruining my life.,Self-Esteem & Empowerment,Medium
"To be honest, I lack clean water for bathing and personal hygiene which makes everything worse.",Hygiene & Health,Medium
"Please help, I am facing extreme financial crisis and debt. I feel stuck.",Financial & School Fees,High
Can anyone advise me? My family has no money for food or basic survival and it's ruining my life.,Financial & School Fees,High
"Please help, I am constantly stressed about how to source funds for tuition fees right now.",Financial & School Fees,Medium
I need to vent: I feel very lonely and isolated from my friends. I feel stuck.,Mental Health,Medium
"Please help, I am constantly anxious about my future right now.",Mental Health,Medium
I feel like I am struggling to find any motivation to get out of bed and I have no support system here.,Mental Health,Medium
I am struggling because I want to find a mentor to guide my career and I have no support system here.,Career & Future,Low
"Please help, I might drop out of school due to financial struggles and it's completely draining my energy.",Financial & School Fees,Medium
It is hard to admit but I am failing my end of semester exams. I feel stuck.,Education & Academics,Medium
"Please help, I feel stressed out and overwhelmed by life right now.",Mental Health,Medium
Can anyone advise me? I find it hard to speak up or stand up for myself,Self-Esteem & Empowerment,Low
I am worried about my physical health and lack of nutrition which makes everything worse.,Hygiene & Health,Medium
I need to vent: I feel stressed out and overwhelmed by life and I have no support system here.,Mental Health,Medium
I feel like I need help building a professional resume which makes everything worse.,Career & Future,Low
Every day it's the same: I feel like I am not good enough for any opportunities which makes everything worse.,Self-Esteem & Empowerment,Medium
"Please help, I want to believe in myself more but my inner voice is so negative and it's ruining my life.",Self-Esteem & Empowerment,Low
I don't know how to prepare for a job interview. It is so hard.,Career & Future,Low
I feel like I don't know how to study effectively for finals. I feel stuck.,Education & Academics,Low
It is hard to admit but I am failing my end of semester exams. I just want things to get better.,Education & Academics,Medium
I feel like I cannot find a job or internship anywhere and it's completely draining my energy.,Career & Future,Medium
Can anyone advise me? I am constantly anxious about my future and it's ruining my life.,Mental Health,Medium
I feel like I feel nervous about presenting my group project next week right now.,Education & Academics,Low
I feel locked out of career spaces because I don't have connections which makes everything worse.,Career & Future,Medium
I need to vent: I feel locked out of career spaces because I don't have connections and I have no support system here.,Career & Future,Medium
"Every day it's the same: My mind is constantly racing with dark, heavy thoughts. It is so hard.",Mental Health,High
We lack basic sanitation facilities in our community which makes everything worse.,Hygiene & Health,High
"To be honest, I am falling behind on my reading list this semester and it's ruining my life.",Education & Academics,Low
"Honestly, I want to build my self-esteem but don't know how. It is so hard.",Self-Esteem & Empowerment,Low
Every day it's the same: I keep getting poor grades despite trying my best. I just want things to get better.,Education & Academics,Medium
Every day it's the same: I lack clean water for bathing and personal hygiene. I just want things to get better.,Hygiene & Health,Medium
I am struggling because I have to drop out entirely because we cannot pay basic living fees and I don't know what to do.,Financial & School Fees,High
"Please help, My family has no money for food or basic survival. It is so hard.",Financial & School Fees,High
I keep getting poor grades despite trying my best. I just want things to get better.,Education & Academics,Medium
Every day it's the same: I missed my final exams because I lacked basic menstrual health supplies. I feel stuck.,Hygiene & Health,High
Can anyone advise me? I have a severe infection but no access to a clinic. I feel stuck.,Hygiene & Health,High
Lately I have been feeling that Unemployment is making me feel like a burden and it's ruining my life.,Career & Future,Medium
I am struggling because I feel stressed out and overwhelmed by life,Mental Health,Medium
Lately I have been feeling that I don't have access to clean drinking water and I am sick and I don't know what to do.,Hygiene & Health,High
I need to vent: I cannot control my mood swings lately and I don't know what to do.,Mental Health,Medium
I need to vent: I missed my final exams because I lacked basic menstrual health supplies and I have no support system here.,Hygiene & Health,High
"Please help, I want to believe in myself more but my inner voice is so negative. I just want things to get better.",Self-Esteem & Empowerment,Low
"Lately, I have to drop out entirely because we cannot pay basic living fees and I have no support system here.",Financial & School Fees,High
It is hard to admit but There is no clean or private place to change my pads at school and it's ruining my life.,Hygiene & Health,Medium
"Honestly, I have no money to pay for my university school fees and I have no support system here.",Financial & School Fees,Medium
It is hard to admit but I feel embarrassed to ask about changes in my body during puberty which makes everything worse.,Hygiene & Health,Medium
Can anyone advise me? I missed my final exams because I lacked basic menstrual health supplies,Hygiene & Health,High
Every day it's the same: Severe panic attacks are making it impossible to breathe which makes everything worse.,Mental Health,High
Lately I have been feeling that I have no money to pay for my university school fees right now.,Financial & School Fees,Medium
I feel like My anxiety is so bad I can't leave my room and I have no support system here.,Mental Health,High
I am struggling because I feel like failing these assignments will ruin my entire future. It is so hard.,Education & Academics,Medium
"Lately, I cannot find a job or internship anywhere right now.",Career & Future,Medium
"To be honest, I cannot afford sanitary pads and miss school every month and it's completely draining my energy.",Hygiene & Health,High
"Please help, I want to find a mentor to guide my career. I just want things to get better.",Career & Future,Low
"To be honest, I want to believe in myself more but my inner voice is so negative",Self-Esteem & Empowerment,Low
"Honestly, I feel completely hopeless and want to end it all which makes everything worse.",Mental Health,Critical
"Honestly, I have a plan to end my life tonight and I don't know what to do.",Mental Health,Critical
It is hard to admit but I want to build my self-esteem but don't know how,Self-Esteem & Empowerment,Low
I need to vent: I feel pressured to change my appearance just to fit in with others and I don't know what to do.,Self-Esteem & Empowerment,Medium
"Lately, I cannot afford the textbooks and materials needed for class and I don't know what to do.",Financial & School Fees,Medium
